FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240222;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Continental;Banco;220130;25870;300;8.6;258700;20250108
20240222;NMIV;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;140105;Credito;Banco;182450;23050;180;9.15;230500;20250108
20240222;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;221940;58660;180;9;293300;20250108
20240222;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;215748.75;25382;300;8.96;253820;20250108
20240222;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Interbank;Banco;171953.55;34755;120;10.13;231700;20250108
20240222;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;222805.1;26166;240;8.79;261660;20250108
20240222;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Interbank;Banco;111147.05;24848.5;240;10.05;160990;20250108
20240228;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;170930;21770;180;9.2;217700;20250108
20240228;NMIV;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;140105;Credito;Banco;106000;28500;120;9.43;159500;20250108
20240222;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;172820;21980;180;9.6;219800;20250108
20240222;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;173810;22090;180;9.58;220900;20250108
20240222;NMIV;LIMA;LIMA;LA VICTORIA;150115;Credito;Banco;284883;46317;240;9.76;343900;20250108
20240222;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;248930;29070;120;8.75;290700;20250108
20240222;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;215900;25400;180;10.3;254000;20250108
20240228;NMIV;LIMA;LIMA;SAN LUIS;150134;Credito;Banco;230400;80000;240;9.2;323100;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;35259.75;8730.25;60;15;87302.5;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;35259.75;8730.25;120;15;87302.5;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;35259.75;8730.25;60;15;87302.5;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;28990;15000;60;15;87302.5;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;39759.75;9230.25;240;15;92302.5;20250108
20240222;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Credito;Banco;269000;31300;240;9.1;313000;20250108
20240222;NMIV;LIMA;LIMA;BRENIA;150105;Credito;Banco;280700;32600;240;9.9;326000;20250108
20240222;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;254965;47235;300;9;314900;20250108
20240222;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;250315.43;46414.49;240;9.3;309429.92;20250108
20240222;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;296810;34390;240;9.5;343900;20250108
20240228;FCTP;ICA;ICA;LA TINGUINIA;110102;BANCO PICHINCHA;Banco;47715;10280;120;15;102800;20250108
20240228;FCTP;ICA;ICA;LA TINGUINIA;110102;BANCO PICHINCHA;Banco;47715;10280;240;15;102800;20250108
20240228;FCTP;LA LIBERTAD;TRUJILLO;LAREDO;130106;BANCO PICHINCHA;Banco;35259.75;8730.25;60;15;87302.5;20250108
20240214;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;23695;30000;96;15;98500;20250108
20240214;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;44195;6000;216;15;95000;20250108
20240222;NMIV;LIMA;LIMA;LA VICTORIA;150115;Credito;Banco;203372.9;24008.1;300;8.95;240081;20250108
20240222;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;BANBIF;Banco;217700;85152.85;240;10.85;310152.85;20250108
20240222;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;276573.8;32140;240;9.47;321400;20250108
20240222;NMIV;LA LIBERTAD;TRUJILLO;HUANCHACO;130104;Continental;Banco;127163.2;40000;96;9;192163.2;20250108
20240222;NMIV;LIMA;LIMA;CHORRILLOS;150108;Continental;Banco;235700;27000;300;9.3;270000;20250108
20240228;FCTP;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;40087.5;45000;180;15;128400;20250108
20240228;FCTP;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;75817.5;6270;240;15;125400;20250108
20240228;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;45695;6000;240;15;96500;20250108
20240228;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;51695;6000;240;15;102500;20250108
