FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240405;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;222346.10;26215.00;240.00;8.28;262150.00;20250108
20240405;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;Credito;Banco;125591.00;16899.00;120.00;9.70;168990.00;20250108
20240405;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;148700.00;43800.00;180.00;9.70;219000.00;20250108
20240405;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Credito;Banco;213775.00;40125.00;240.00;8.95;267500.00;20250108
20240405;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;258128.00;30192.00;240.00;8.65;301920.00;20250108
20240404;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;95092.00;30398.00;180.00;9.70;151990.00;20250108
20240404;NMIV;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;89600.00;28000.00;120.00;10.00;140000.00;20250108
20240405;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;205964.00;24396.00;300.00;9.00;243960.00;20250108
20240405;NMIV;LIMA;LIMA;LIMA;150101;Crediscotia;Financiera;150697.60;34002.40;246.00;12.30;205200.00;20250108
20240405;NMIV;LIMA;LIMA;LIMA;150101;Crediscotia;Financiera;159500.00;20000.00;300.00;12.00;200000.00;20250108
20240408;NMIV;LIMA;LIMA;LOS OLIVOS;150117;Interbank;Banco;192325.60;29100.00;180.00;9.76;239800.00;20250108
20240408;NMIV;ICA;ICA;LA TINGUINIA;110102;CMAC Huancayo;CMAC;99900.00;80946.73;180.00;13.35;201346.73;20250108
20240409;NMIV;PIURA;SULLANA;MIGUEL CHECA;200606;CMAC Huancayo;CMAC;45000.00;15000.00;120.00;14.98;86900.00;20250108
20240408;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;262401.00;30669.00;240.00;9.40;306670.00;20250108
20240408;NMIV;CUSCO;CUSCO;SAN JERONIMO;080104;BANCO PICHINCHA;Banco;224800.00;26000.00;190.00;10.30;258400.00;20250108
20240408;NMIV;LAMBAYEQUE;LAMBAYEQUE;TUCUME;140312;CMAC Huancayo;CMAC;74400.00;45130.47;120.00;13.76;141930.47;20250108
20240408;NMIV;CAJAMARCA;JAEN;JAEN;060801;CMAC Huancayo;CMAC;82900.00;11700.00;108.00;13.76;117000.00;20250108
20240408;NMIV;TACNA;TACNA;TACNA;230101;CMAC Huancayo;CMAC;84500.00;80000.00;120.00;12.68;185000.00;20250108
20240408;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;CMAC Huancayo;CMAC;98000.00;20000.00;120.00;13.35;140400.00;20250108
20240408;NMIV;CALLAO;CALLAO;CALLAO;070101;Credito;Banco;142470.00;75800.00;180.00;9.53;238770.00;20250108
20240408;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;149840.00;36260.00;180.00;9.99;212600.00;20250108
20240408;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;199860.00;56540.00;180.00;8.85;270000.00;20250108
20240408;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;242360.00;28440.00;240.00;8.90;284400.00;20250108
20240408;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;298400.00;34000.00;300.00;9.00;340000.00;20250108
20240408;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;BANBIF;Banco;267110.00;31190.00;300.00;9.20;311900.00;20250108
20240408;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;BANBIF;Banco;108400.00;62000.00;240.00;10.20;196900.00;20250108
20240408;NMIV;ICA;ICA;PARCONA;110106;BANBIF;Banco;90100.00;12500.00;180.00;11.05;125000.00;20250108
20240408;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;BANBIF;Banco;239625.80;28136.20;240.00;9.20;281362.00;20250108
20240408;NMIV;LIMA;LIMA;ATE;150103;Interbank;Banco;277203.85;31610.00;240.00;9.28;316100.00;20250108
20240408;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;Interbank;Banco;127871.35;16385.00;240.00;9.66;163850.00;20250108
20240408;NMIV;CALLAO;CALLAO;BELLAVISTA;070102;Comercio;Banco;262014.00;68679.00;240.00;9.90;343393.00;20250108
20240408;NMIV;LIMA;LIMA;SAN MIGUEL;150136;BANBIF;Banco;245800.00;70000.00;240.00;10.50;328500.00;20250108
20240408;NMIV;LIMA;LIMA;SAN MIGUEL;150136;BANBIF;Banco;271250.00;31550.00;240.00;9.93;315500.00;20250108
